"Площадь, м2",Количество спален,Участок,Адрес,Телефоны,Описание,Цена,Можно с детьми/животными,Дополнительно,Ссылка на объявление,Широта,Долгота
170,5.0,"8.0, сот.","Московская область, Домодедово городской округ, дом Жеребятьево, 25А, шоссе Каширское , шоссе Москва - Аэропорт Домодедово, А-105",+79161834574,"Сдается дом посуточно от собственника!!! Подходит как для уединенного отдыха так и для веселых компаний. У нас Вы будете чувствовать себя как дома! До Москвы - 17 км.  Дом просторный 180 кв.м. Дом полностью меблирован, вся необходимая бытовая техника .Также предоставляются вся посуда до мелочей, пастельное белье, средства гигиены. В доме 5 спален + зал-гостиная и комната для курения. Можем комфортно разместить до 16 человек. В гостиную ставим длинный раскладной стол на 16 персон .Вся мебель и бытовая в очень хорошем состоянии !!! На территории дома есть небольшая детская площадка для детей. Также есть баня. В бане расположены парная ,комната отдыха ,помывочная ,купель ,ведро с автоматическим набором холодной воды ,2 душевые ,сан/узел. Во дворе дома имеется мангал, стол ,стулья. Условия аренды: БУДНИЕ ДНИ : с ПН-ЧТ 6000 руб/сут до 5 человек, каждый последующий гость +1000 руб. ВЫХОДНЫЕ: Пятница 18000 руб./сут. Суббота  33000 руб./сутки. БАНЯ: оплачивается отдельно 1500руб./час., минимум ..., 37 фото",33000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник",https://www.cian.ru/rent/suburban/282359976,55.514809,37.827895
430,5.0,"10.0, сот.","Московская область, Мытищи городской округ, пос. Вешки, улица Гоголя, 1, шоссе Алтуфьевское , шоссе Дмитровское",+79853345356,"B элитном поселке ""Bешки"" взблизи Москвы сдaетcя роскошный 4-х этaжный дом бизнес клacca c художественным оформлeниeм фаcaдов и пpoфeссиoнaльными рисунками нa cтенах лаундж-зон. 

Дом у леca, c кpaсивым сaдом и зoной пoдъeзда на 3 м.м. Сад и офoрмлeниe прoезжeй части выпoлнeны пo ландшафтному дизайну. Дом оборудован всеми удобствами для красивой жизни. Бассейн, сауна, ванная с душевой и ванная комната с роскошной ванной чашей, оборудованная кухня с островковой зоной и комплектом посуды; духовка, микроволновка и холодильник. Для хранения вещей есть большая гардеробная, в которой вы найдете утюг, гладильную доску. Имеются уличная лаундж зона, которая может быть зоной барбекю, и закрытая лаундж-зона на мансардном этаже.

Гараж на 3 м/м;

Бассейн с подсветкой;

Сауна;

Камин;

большой бассейн 3х8х3 метра.



Бронь внесенная за дом возврату не подлежит.

Тариф в пятницу, субботу и праздничный день - 50-80тр
На новогодние праздники цены уточняйте, цены выше.

В Новогоднюю ночь сдаем от 2х су ..., 50 фото",80000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/303339017,55.92481,37.623465
380,4.0,"12.0, сот.","Москва, дом Бачурино, 254, шоссе Калужское , шоссе Варшавское",+79853345356,"Уютный, светлый и современный двухэтажный дом, общей площадью 380 кв.м. На участке 12 соток.

До метро Ольховая на машине 15 минут.

В доме четыре спальни. Спальных мест 26, в спальнях стоят кровати 160х200 и диваны 140х190.

Сауна электрическая, бильярд, настольные игры, колонка, караоке, два огромных телевизора в гостиной и на кухне, светомузыка есть все для прекрасного и веселого отдыха.

Отдельно стоящая мангальная зона под крышей, шампуры, решетки, садж, казан есть все для приготовления вкусных блюд для большой компании.

Посуда, бокалы, стаканы, всего в достаточном количестве. Вы привозите только угли и еду. В нашем доме запрещено курить даже в ванных, даже в самых дальних темных углах.

Есть два бассейна. В доме и на улице. Бассейн в доме глубиной 1.90 м, 3,5х2,5. Бассейн на улице зимой не работает.

Около дома 5 парковочных мест. КПП нет, подъезд к дому свободный.

Мы очень старались предусмотреть все для вашего комфорта и хорошего впечатления от отдыха, будем искренне рады бер ..., 40 фото",50000 руб/день,,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/306675289,55.445135,37.289867
510,6.0,"12.0, сот.","Московская область, Химки городской округ, Химки, Клязьма кв-л, 211, шоссе Ленинградское , шоссе Международное",+79853345356,"Сдаётся шикарный дом. 
К вашим услугам 510 кВ метров уютного шале. 
- 6 спален, ( 25 спальных мест) 
- 5 санузлов, 
- большая гостиная 32 метра 
-оснащенная всем необходимым кухня
-эксклюзивный винный погреб
-кабинет
- подземный гараж. 
Первый этаж дома , вдохновенный строениями Гауди наполнен мебелью в стиле арт-деко, которая прекрасно сочетается с современной техникой. 
В гостиной расположен большой и удобный диван, а также обеденный стол, который стоит на стеклянном полу и под стеклянной крышей, наполняющей помещение светом. 
На улице вас ждет большая терраса, а также летняя кухня. 
Также приятным бонусом для вас станет чан на дровах с горячей водой,, которую специально для вас могут растопить. Горячая ванна под открытым небом - отличный способ расслабиться после насыщенного дня. 

Цокольный этаж дома выполнен в марокканском стиле, здесь царит атмосфера восточной сказки 1001 ночь. 

Транспортная доступность: 
Дом находится в Химках близ аэропорта Шереметьево и платной трассы. Благод ..., 39 фото",150000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/305741812,55.93663,37.36935
160,5.0,"25.0, сот.","Московская область, Домодедово городской округ, дом Жеребятьево, 24А, шоссе Каширское , шоссе Москва - Аэропорт Домодедово, А-105",+79197606518,"Сдается дом посуточно от собственника!!! 
Подходит как для уединенного отдыха так и для веселых компаний. 
У нас Вы будете чувствовать себя как дома! 
Дом находится в дер. Жеребятьево   Домодедовского района, до Москвы - 16 км по трассе в аэропорт Домодедово, ближайшее метро - Домодедовская 20 минут на машине,от дома до аэропорта Домодедово - 5км,на машине 5 мин .
Дом просторный  160 кв.м.Дом полностью меблирован, вся необходимая бытовая  техника .Также  предоставляются вся  посуда до мелочей, пастельное белье,средства гигиены.
В доме 5  спален + кухня гостиная с диваном.На улице есть большой стол под крышей , также мини детская площадка для детей.Можем комфортно разместить до 14 человек.
В гостиной расположены стол для компании максимум 12-14 человек, телевизор. Все спальные места застилаем постельным бельём.Вся посуда в наличии- тарелки, ложки, вилки и т.д.
Также есть баня. В бане расположены парная ,комната отдыха ,помывочная ,купель ,ведро  с автоматическим набором холодной воды ,  ..., 37 фото",25000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/311170796,55.514809,37.827895
755,8.0,"30.0, сот.","Московская область, Красногорск городской округ, Нахабино пгт, Речное СНТ, проезд Елизаветинский, 5, шоссе Новорижское , шоссе Волоколамское",+79660479319,"ОПИСАНИЕ:

Коттедж 755квм в 2 этажа на участке 30 соток.
Панорамное остекление, дерево и большая зона для проведения банкета на 35-40 человек.
Бассейн подогреваемый 10х3м глубиной 1.7м , хаммам, зона отдыха с проектором, настольный теннис, зона банкета со всем необходимым(стереосистема, смарт-ТВ, Wi-Fi, караоке), 5 с/у, 8 отдельных спален и 22 спальных места. Парковка на 8 автомобилей

-------------------------------------------
СТОИМОСТЬ:

С Воскресенья по Четверг (сутки) - 55 000 руб. до 20 человек
Пятница - 90 000 руб. до 20 человек
Суббота - 125 000 руб. до 20 человек
С Пятницы по Воскресение (двое суток) - 165 000 руб. до 20 человек
Новый год (2 суток) - 450 000 руб до 20 человек.
Январские каникулы - 125 000 руб до 20 человек. 

СТРАХОВОЙ ДЕПОЗИТ (ЗАЛОГ):
Залог - 50 000 руб. (возвратный) 

ДОП ПЛАТЫ:

Уборка - 6500 руб. 
Свыше 20 человек + 4 000 руб./1 человек

-------------------------------------------
ВАЖНАЯ ИНФОРМАЦИЯ:

Всё включено: постельное белье, пользование хаммам и бас ..., 31 фото",125000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/298611674,56.007529,36.216057
600,7.0,"15.0, сот.","Московская область, Истра городской округ, Ла-Манш кп, 73, шоссе Новорижское , шоссе Волоколамское",+79852286369,"Не Агент!! Сдаётся 2-х этажный дом в стиле шале в охраняемом КП Ла-Манш на Новорижском шоссе на одной из самых высоких точек Московской области , 229м. над уровнем моря. В зимнее время, тишина, вокруг лесопарковая полоса. Чистый воздух, на территории посёлка детские площадки. Прекрасное место для будь-то для семейного или корпоративного отдыха.
Красивый и просторный дом с ухоженной прилегающей территорией расположен на прилесном участке в 15 соток.
Прекрасное место для отдыха на свежем воздухе. В нашем доме Вы можете провести любое мероприятие, будь-то свадьба, девичник, мальчишник, корпоратив, замечательно отметить день рождение или провести выходные с семьёй.
В доме семь спален, две из них расположены на мансардном этаже.
СПА, сауна на дровах,бассейн который можно переплыть под вод стеклом и оказаться на улице. Собственный пляж, волейбольная площадка, бильярдная,
Окончательная стоимость арендной платы в сутки, зависит непосредственно от количества гостей.
В будни дни, аренда дома от  ..., 20 фото",150000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Гараж, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/309123984,55.914014,36.602395
700,5.0,"15.0, сот.","Московская область, Одинцовский городской округ, пос. Горки-2, Знаменское поле тер., улица Первая, 30, шоссе Рублево-Успенское , шоссе Северный объезд Одинцова",+79852286369,"Не Агент!!   Сдаётся в посуточную аренду большой и светлый 2-х этажный дом, на Рублёво-Успенском шоссе, пос. Горки 2. В 15км. от МКАД.  Дом с витражными окнами, с ухоженной прилегающей территорией. Прекрасное место для отдыха на свежем воздухе. В нашем доме Вы можете провести любое мероприятие, будь-то свадьба, девичник, мальчишник, корпоратив, замечательно отметить день рождение. В доме Бассейн с лаунж-зоной и дискотекой 2 спальни, 3 санузла.
На втором этаже 3 спальни, 3 санузла и всё необходимое для комфортного время препровождения. 
Так же есть оборудованная мангальная зона. ( Можно воспользоваться услугами мангальщика за дополнительную оплату). Вместительность дома до 200 гостей в дневное время и до 30 спальных мест для ночлега.
Окончательная стоимость арендной платы в сутки, зависит непосредственно от количества гостей. 
В будни дни, аренда дома от 30 000 рублей при заселении не более 10 человек. В случае если гостей более 10 человек, то производиться доплата за каждого человека в ..., 22 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Гараж, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/309080987,55.731024,37.138079
1300,9.0,"40.0, сот.","Московская область, Одинцовский городской округ, дом Дарьино, Новое Николино тер., шоссе Минское , шоссе Можайское",+79154560650,"#109
Особняк в классическом стиле с привкусом средиземноморья!
Дом площадью 1300 кв.м. в 18 км от МКАД в закрытом элитном посёлке — это безупречное место для почитателей нестареющей классики, роскоши и премиального уровня торжеств!

На первом этаже великолепный банкетный зал в дворцовом стиле площадью 70 кв.м. на 35 гостей. Он имеет уникальное освещение с различными схемами, включая ночное небо, и оборудован гигантской плазменной панелью. В особняке имеется множество балконов, веранд и площадок для организации велком или фуршета.

Уникальные зоны особняка включают в себя:
— бассейн площадью 50 кв.м. с оформлением в стиле тропики с подвесным мостиком на уровне второго этажа и перекидным мостиком через водное зеркало,
— сауну с дизайнерской подсветкой и оборудованием TYLO,
— домашний кинозал, танцевальную зону со светомузыкой, русский бильярд 12 футов высочайшего качества.

В доме 9 комнат на 20 комфортных спальных мест, а также отдельный двухместный премиальный люкс с элитной мебелью и  ..., 50 фото",150000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/295330351,55.654005,37.281225
750,6.0,"25.0, сот.","Московская область, Химки городской округ, пос. Лунево, улица Садовая, 33, шоссе Ленинградское , шоссе Дмитровское","+79647687977, +79660626135","Приглашаем Вас отдохнуть в многофункциональном особняке всего в 15 км. по Ленинградскому шоссе, в пос. Лунево.

Предлагается ПОСУТОЧНАЯ и длительная аренда в приватной зоне, в 3-х этажном особняке площадью 750 кв.м. для круглогодичного проживания со всеми центральными коммуникациями. Дом укомплектован всем необходимым для комфортного проживания :
- возможность проведения банкетных мероприятий (до 50 посадочных мест);
- полностью оборудованная кухня, посуда и кухонный инвентарь;
- спальные места до 30 гостей(6 спален, 5 санузлов)
- зона барбекю в помещение для круглогодичного использование;
- зона барбекю на участке (большая беседка);
- спортивная огороженная площадка(Футбол/Волейбол/Баскетбол);
- парковочные места с возможностью размещения 15 автомобилей;

Комфортное время препровождение включает в себя :
- Бассейн
- Сауну
- Хамам
- Камин
- Бильярд ( стол 12 фут.)
- Теннисный стол
- Тренажерное оборудование
- Кинотеатр (дискотека,караоке)

Прейскурант комфортного пребывания в доме расс ..., 44 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Гараж, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/266269200,56.128616,37.071936
